scaffold,start,end,mid,sites,pi_all,species
I,2710001,2720000,2718865,306,0.0177,C. inopinata
I,2770001,2780000,2773811,1887,0.0138,C. inopinata
I,2780001,2790000,2783215,780,0.015,C. inopinata
I,2830001,2840000,2833000,458,0.0093,C. inopinata
I,2850001,2860000,2851120,214,0.0665,C. inopinata
I,2860001,2870000,2867830,249,0.0165,C. inopinata
I,2870001,2880000,2875651,595,0.0136,C. inopinata
I,2890001,2900000,2897561,497,0.0119,C. inopinata
I,2910001,2920000,2915629,593,0.011,C. inopinata
I,2920001,2930000,2926672,1091,0.0121,C. inopinata
I,2930001,2940000,2935465,1262,0.0108,C. inopinata
I,2940001,2950000,2943422,1291,0.0066,C. inopinata
I,2950001,2960000,2957721,178,0.0139,C. inopinata
I,2970001,2980000,2977270,691,0.0076,C. inopinata
I,3040001,3050000,3047678,328,0.0151,C. inopinata
I,3050001,3060000,3057073,732,0.0057,C. inopinata
I,3100001,3110000,3104646,649,0.0158,C. inopinata
I,3110001,3120000,3111197,167,0.0127,C. inopinata
I,3120001,3130000,3128260,391,0.0252,C. inopinata
I,3150001,3160000,3152880,842,0.0089,C. inopinata
I,3170001,3180000,3174125,429,0.0189,C. inopinata
I,3180001,3190000,3183304,309,0.0046,C. inopinata
I,3190001,3200000,3196623,198,0.0174,C. inopinata
I,3200001,3210000,3207175,821,0.01,C. inopinata
I,3230001,3240000,3233893,317,0.0241,C. inopinata
I,3240001,3250000,3246934,187,0.0131,C. inopinata
I,3260001,3270000,3265790,370,0.0011,C. inopinata
I,3270001,3280000,3274018,2159,0.0024,C. inopinata
I,3290001,3300000,3299346,270,0.0063,C. inopinata
I,3300001,3310000,3303215,1439,0.0044,C. inopinata
I,3320001,3330000,3326307,1846,0.0059,C. inopinata
I,3330001,3340000,3333754,2446,0.0098,C. inopinata
I,3340001,3350000,3346513,785,0.0067,C. inopinata
I,3350001,3360000,3356087,512,0.0032,C. inopinata
I,3360001,3370000,3364862,1391,0.0036,C. inopinata
I,3370001,3380000,3371316,570,0.0057,C. inopinata
I,3380001,3390000,3386051,509,0.012,C. inopinata
I,3400001,3410000,3407296,338,0.0013,C. inopinata
I,3410001,3420000,3414824,655,0.0049,C. inopinata
I,3420001,3430000,3425424,181,0.0038,C. inopinata
I,3430001,3440000,3439178,421,0.0041,C. inopinata
I,3450001,3460000,3458301,204,0.0035,C. inopinata
I,3460001,3470000,3468713,221,0.0062,C. inopinata
I,3470001,3480000,3478946,171,0.0022,C. inopinata
I,3490001,3500000,3496879,685,0.0008,C. inopinata
I,3500001,3510000,3506858,728,0.0012,C. inopinata
I,3510001,3520000,3514212,168,0.0121,C. inopinata
I,3530001,3540000,3537166,438,0.0144,C. inopinata
I,3540001,3550000,3544661,253,0.0086,C. inopinata
I,3550001,3560000,3551693,261,0.0037,C. inopinata
I,3560001,3570000,3560249,253,0.0063,C. inopinata
I,3570001,3580000,3576591,325,0.0003,C. inopinata
I,3580001,3590000,3586759,1058,0.0038,C. inopinata
I,3590001,3600000,3594411,1044,0.0027,C. inopinata
I,3600001,3610000,3605567,848,0.0061,C. inopinata
I,3610001,3620000,3617377,657,0.0081,C. inopinata
I,3620001,3630000,3624244,1191,0.0125,C. inopinata
I,3630001,3640000,3636467,1224,0.0035,C. inopinata
I,3640001,3650000,3643824,635,0.0097,C. inopinata
I,3650001,3660000,3653313,1245,0.0061,C. inopinata
I,3660001,3670000,3664856,667,0.0053,C. inopinata
I,3670001,3680000,3675002,3279,0.007,C. inopinata
I,3680001,3690000,3685184,981,0.0119,C. inopinata
I,3690001,3700000,3695894,1097,0.0063,C. inopinata
I,3700001,3710000,3706726,1085,0.0081,C. inopinata
I,3710001,3720000,3713329,636,0.0101,C. inopinata
I,3720001,3730000,3726403,303,0.0078,C. inopinata
I,3730001,3740000,3733630,966,0.0092,C. inopinata
I,3740001,3750000,3744747,238,0.0019,C. inopinata
I,3750001,3760000,3754787,408,0.003,C. inopinata
I,3760001,3770000,3763774,293,0.0074,C. inopinata
I,3820001,3830000,3824601,365,0.0084,C. inopinata
I,3830001,3840000,3830139,216,0.0079,C. inopinata
I,3840001,3850000,3847691,531,0.0008,C. inopinata
I,3850001,3860000,3855410,491,0.0021,C. inopinata
I,3860001,3870000,3863513,923,0.0026,C. inopinata
I,3870001,3880000,3875310,180,0.0,C. inopinata
I,3880001,3890000,3884514,386,0.0097,C. inopinata
I,3890001,3900000,3893563,859,0.0014,C. inopinata
I,3910001,3920000,3919372,205,0.0032,C. inopinata
I,3950001,3960000,3954115,187,0.0058,C. inopinata
I,3960001,3970000,3965980,343,0.0099,C. inopinata
I,3970001,3980000,3971073,246,0.007,C. inopinata
I,3990001,4000000,3994645,488,0.0166,C. inopinata
